site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CVMS 00JUN25 2000.4819 51720 1068 0  -89.6  -3945 -0.599486   3934661  0.218261    72  0.978220  0.0000 0.001060 0.001366 0.005147 -0.051900 -0.101227  0.200397  35.5414216237  -89.6435099778    72.97822
CVMS 00JUN26 2000.4846 51721 1068 1  -89.6  -3945 -0.600345   3934661  0.218569    72  0.978248  0.0000 0.001085 0.001385 0.005161  0.001489 -0.202367  0.148359  35.5414216264  -89.6435099877    72.97825
CVMS 00JUN27 2000.4873 51722 1068 2  -89.6  -3945 -0.596001   3934661  0.221133    72  0.982430  0.0000 0.001116 0.001455 0.005402  0.009941 -0.155576  0.187381  35.5414216495  -89.6435099402    72.98243
CVMS 00JUN28 2000.4901 51723 1068 3  -89.6  -3945 -0.598679   3934661  0.226109    72  0.976654  0.0000 0.001047 0.001359 0.004856 -0.017680 -0.172970  0.159140  35.5414216943  -89.6435099702    72.97665
CVMS 00JUN29 2000.4928 51724 1068 4  -89.6  -3945 -0.594031   3934661  0.223720    72  0.966911  0.0000 0.001001 0.001276 0.004590 -0.013339 -0.158264  0.097721  35.5414216727  -89.6435099193    72.96691
CVMS 00JUN30 2000.4956 51725 1068 5  -89.6  -3945 -0.598433   3934661  0.220045    72  0.970899  0.0000 0.001019 0.001311 0.004809 -0.007428 -0.212170  0.117083  35.5414216396  -89.6435099683    72.97090
CVMS 00JUL01 2000.4983 51726 1068 6  -89.6  -3945 -0.596414   3934661  0.222478    72  0.972745  0.0000 0.001006 0.001370 0.004965 -0.026922 -0.174314  0.215073  35.5414216615  -89.6435099464    72.97274
CVMS 00JUL02 2000.5010 51727 1069 0  -89.6  -3945 -0.595144   3934661  0.219472    72  0.973199  0.0000 0.001099 0.001356 0.005057  0.004649 -0.157497  0.051853  35.5414216343  -89.6435099328    72.97320
CVMS 00JUL03 2000.5038 51728 1069 1  -89.6  -3945 -0.581866   3934661  0.216677    72  0.976379  0.0000 0.001063 0.001360 0.005042 -0.037328 -0.047025  0.119104  35.5414216091  -89.6435097868    72.97638
CVMS 00JUL04 2000.5065 51729 1069 2  -89.6  -3945 -0.573780   3934661  0.211560    72  0.959792  0.0000 0.001063 0.001382 0.004962 -0.003812  0.017780  0.063440  35.5414215630  -89.6435096980    72.95979
CVMS 00JUL05 2000.5092 51730 1069 3  -89.6  -3945 -0.551723   3934661  0.201550    72  0.951002  0.0000 0.001160 0.001346 0.005299 -0.019084  0.077709 -0.073498  35.5414214727  -89.6435094552    72.95100
CVMS 00JUL06 2000.5120 51731 1069 4  -89.6  -3945 -0.554817   3934661  0.203408    72  0.947815  0.0000 0.001050 0.001378 0.004908  0.020038  0.097602  0.032787  35.5414214894  -89.6435094897    72.94781
CVMS 00JUL07 2000.5147 51732 1069 5  -89.6  -3945 -0.552041   3934661  0.197675    72  0.936093  0.0000 0.001066 0.001347 0.004992  0.002797  0.064765  0.048283  35.5414214377  -89.6435094595    72.93609
CVMS 00JUL08 2000.5175 51733 1069 6  -89.6  -3945 -0.554957   3934661  0.201254    72  0.950505  0.0000 0.001089 0.001373 0.005093 -0.029955 -0.040070 -0.031154  35.5414214699  -89.6435094921    72.95051
CVMS 00JUL09 2000.5202 51734 1070 0  -89.6  -3945 -0.563407   3934661  0.211780    72  0.947327  0.0000 0.001080 0.001390 0.004982  0.059191 -0.008016  0.039856  35.5414215648  -89.6435095858    72.94733
CVMS 00JUL10 2000.5229 51735 1070 1  -89.6  -3945 -0.551234   3934661  0.196219    72  0.950510  0.0000 0.001102 0.001386 0.005048  0.006930  0.117951 -0.061113  35.5414214245  -89.6435094518    72.95051
