site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
ZME1 03MAR13 2003.1951 52711 1209 4  -90.0   4070  1.037017   3882069  0.678830    68  0.084319  0.0000 0.001194 0.001247 0.005563 -0.066733  0.149647 -0.131180  35.0673940160  -89.9553684032    68.08432
ZME1 03MAR14 2003.1978 52712 1209 5  -90.0   4070  1.036887   3882069  0.679188    68  0.082646  0.0000 0.001018 0.001142 0.004627  0.012560  0.040543 -0.175769  35.0673940192  -89.9553684051    68.08265
ZME1 03MAR15 2003.2005 52713 1209 6  -90.0   4070  1.034237   3882069  0.677662    68  0.093180  0.0000 0.001050 0.001151 0.005026  0.013780  0.038531 -0.269571  35.0673940054  -89.9553684345    68.09318
ZME1 03MAR16 2003.2033 52714 1210 0  -90.0   4070  1.037034   3882069  0.676754    68  0.093020  0.0000 0.001113 0.001188 0.005376 -0.076805  0.211146 -0.161853  35.0673939972  -89.9553684043    68.09302
ZME1 03MAR17 2003.2060 52715 1210 1  -90.0   4070  1.034727   3882069  0.679641    68  0.097593  0.0000 0.001103 0.001232 0.005232  0.027887  0.076559 -0.082014  35.0673940231  -89.9553684300    68.09759
ZME1 03MAR18 2003.2088 52716 1210 2  -90.0   4070  1.035483   3882069  0.677332    68  0.098525  0.0000 0.001036 0.001204 0.005146 -0.065315  0.245293 -0.193366  35.0673940023  -89.9553684221    68.09852
ZME1 03MAR19 2003.2115 52717 1210 3  -90.0   4070  1.033944   3882069  0.674391    68  0.095671  0.0000 0.001029 0.001088 0.004734 -0.002094  0.110762 -0.173654  35.0673939757  -89.9553684394    68.09567
ZME1 03MAR20 2003.2142 52718 1210 4  -90.0   4070  1.033924   3882069  0.675437    68  0.090415  0.0000 0.001071 0.001154 0.005142 -0.069146  0.196528 -0.196153  35.0673939851  -89.9553684400    68.09042
ZME1 03MAR21 2003.2170 52719 1210 5  -90.0   4070  1.034228   3882069  0.678869    68  0.095673  0.0000 0.001065 0.001201 0.005144 -0.015263  0.091743 -0.081387  35.0673940160  -89.9553684371    68.09567
ZME1 03MAR22 2003.2197 52720 1210 6  -90.0   4070  1.035084   3882069  0.677001    68  0.090909  0.0000 0.001026 0.001165 0.004886 -0.028364  0.134812 -0.172576  35.0673939992  -89.9553684281    68.09091
ZME1 03MAR23 2003.2225 52721 1211 0  -90.0   4070  1.035178   3882069  0.679363    68  0.078899  0.0000 0.001029 0.001136 0.004758  0.008601  0.130708 -0.100100  35.0673940204  -89.9553684275    68.07890
ZME1 03MAR24 2003.2252 52722 1211 1  -90.0   4070  1.036723   3882069  0.675956    68  0.089586  0.0000 0.001020 0.001105 0.004814  0.035210  0.143453 -0.187790  35.0673939897  -89.9553684110    68.08959
ZME1 03MAR25 2003.2279 52723 1211 2  -90.0   4070  1.033708   3882069  0.675052    68  0.092533  0.0000 0.001080 0.001204 0.005128 -0.073845  0.163631 -0.185367  35.0673939815  -89.9553684445    68.09253
ZME1 03MAR26 2003.2307 52724 1211 3  -90.0   4070  1.035603   3882069  0.675459    68  0.090400  0.0000 0.001056 0.001183 0.005113 -0.030011  0.246303 -0.150843  35.0673939851  -89.9553684241    68.09040
ZME1 03MAR27 2003.2334 52725 1211 4  -90.0   4070  1.035586   3882069  0.680867    68  0.088380  0.0000 0.001026 0.001155 0.005091 -0.098819  0.260549 -0.164109  35.0673940338  -89.9553684247    68.08838
ZME1 03MAR28 2003.2361 52726 1211 5  -90.0   4070  1.031590   3882069  0.674759    68  0.090081  0.0000 0.001079 0.001127 0.005101 -0.022877  0.117923 -0.227735  35.0673939787  -89.9553684689    68.09008
ZME1 03MAR29 2003.2389 52727 1211 6  -90.0   4070  1.035591   3882069  0.681583    68  0.076912  0.0000 0.001018 0.001090 0.004640 -0.014605  0.101512 -0.173850  35.0673940402  -89.9553684254    68.07691
ZME1 03MAR30 2003.2416 52728 1212 0  -90.0   4070  1.032417   3882069  0.680090    68  0.077396  0.0000 0.000986 0.001093 0.004589  0.000852  0.080575 -0.132278  35.0673940267  -89.9553684606    68.07740
ZME1 03MAR31 2003.2444 52729 1212 1  -90.0   4070  1.035529   3882069  0.680985    68  0.073841  0.0000 0.000993 0.001052 0.004497 -0.005604  0.096204 -0.118687  35.0673940347  -89.9553684269    68.07384
ZME1 03APR01 2003.2471 52730 1212 2  -90.0   4070  1.035959   3882069  0.676439    68  0.086947  0.0000 0.001075 0.001148 0.005181 -0.092201  0.141860 -0.238169  35.0673939937  -89.9553684226    68.08695
ZME1 03APR02 2003.2498 52731 1212 3  -90.0   4070  1.033597   3882069  0.676828    68  0.085496  0.0000 0.001041 0.001142 0.004934 -0.065444  0.162423 -0.163585  35.0673939972  -89.9553684489    68.08550
