site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
TN49 09DEC29 2009.9932 55194 1564 2  -89.5  -1731 -0.248338   3961142  0.223407    95  0.151571  0.0000 0.000717 0.000784 0.002885  0.007076  0.023225 -0.150267  35.7800907737  -89.5191496865    95.15157
TN49 09DEC30 2009.9959 55195 1564 3  -89.5  -1731 -0.246786   3961142  0.223227    95  0.156958  0.0000 0.000722 0.000806 0.002912  0.024351  0.045644 -0.121813  35.7800907721  -89.5191496697    95.15696
TN49 09DEC31 2009.9986 55196 1564 4  -89.5  -1731 -0.247386   3961142  0.223253    95  0.162317  0.0000 0.000727 0.000818 0.002970 -0.000766  0.049046 -0.149285  35.7800907723  -89.5191496768    95.16232
TN49 10JAN01 2010.0014 55197 1564 5  -89.5  -1731 -0.247134   3961142  0.221370    95  0.155306  0.0000 0.000725 0.000819 0.002990  0.024907  0.034342 -0.191366  35.7800907553  -89.5191496744    95.15531
TN49 10JAN02 2010.0041 55198 1564 6  -89.5  -1731 -0.247931   3961142  0.223951    95  0.154605  0.0000 0.000730 0.000820 0.002968  0.020555  0.032011 -0.134768  35.7800907785  -89.5191496836    95.15460
TN49 10JAN03 2010.0068 55199 1565 0  -89.5  -1731 -0.247846   3961142  0.223516    95  0.151363  0.0000 0.000759 0.000837 0.003079  0.025377  0.004234 -0.161029  35.7800907745  -89.5191496831    95.15136
TN49 10JAN04 2010.0096 55200 1565 1  -89.5  -1731 -0.248779   3961142  0.222444    95  0.157906  0.0000 0.000750 0.000873 0.003095  0.023715  0.018313 -0.068174  35.7800907648  -89.5191496939    95.15791
TN49 10JAN05 2010.0123 55201 1565 2  -89.5  -1731 -0.248668   3961142  0.223023    95  0.157611  0.0000 0.000746 0.000846 0.003085  0.006070  0.001887 -0.146382  35.7800907700  -89.5191496931    95.15761
TN49 10JAN06 2010.0151 55202 1565 3  -89.5  -1731 -0.248728   3961142  0.222566    95  0.161342  0.0000 0.000729 0.000843 0.003033 -0.005335  0.056299 -0.146494  35.7800907659  -89.5191496942    95.16134
TN49 10JAN07 2010.0178 55203 1565 4  -89.5  -1731 -0.249419   3961142  0.223022    95  0.161783  0.0000 0.000720 0.000828 0.002953  0.019268 -0.001203 -0.156412  35.7800907699  -89.5191497022    95.16178
TN49 10JAN08 2010.0205 55204 1565 5  -89.5  -1731 -0.248754   3961142  0.221302    95  0.158324  0.0000 0.000729 0.000826 0.003000 -0.000439  0.041021 -0.185841  35.7800907544  -89.5191496953    95.15832
TN49 10JAN09 2010.0233 55205 1565 6  -89.5  -1731 -0.247992   3961142  0.222005    95  0.156344  0.0000 0.000730 0.000824 0.002937  0.019963  0.000619 -0.131496  35.7800907607  -89.5191496873    95.15634
TN49 10JAN10 2010.0260 55206 1566 0  -89.5  -1731 -0.246561   3961142  0.221741    95  0.157270  0.0000 0.000721 0.000802 0.002891  0.011508  0.072228 -0.139895  35.7800907583  -89.5191496719    95.15727
TN49 10JAN11 2010.0287 55207 1566 1  -89.5  -1731 -0.247630   3961142  0.222500    95  0.161191  0.0000 0.000732 0.000829 0.003027  0.025717  0.008929 -0.168516  35.7800907651  -89.5191496841    95.16119
TN49 10JAN12 2010.0315 55208 1566 2  -89.5  -1731 -0.247494   3961142  0.221902    95  0.157386  0.0000 0.000754 0.000867 0.003121  0.012270 -0.046240 -0.091138  35.7800907597  -89.5191496830    95.15739
TN49 10JAN13 2010.0342 55209 1566 3  -89.5  -1731 -0.246325   3961142  0.220387    95  0.160685  0.0000 0.000749 0.000829 0.003014 -0.025495  0.040335 -0.134123  35.7800907460  -89.5191496705    95.16068
TN49 10JAN14 2010.0370 55210 1566 4  -89.5  -1731 -0.247421   3961142  0.221921    95  0.162272  0.0000 0.000782 0.000876 0.003244  0.006267 -0.037695 -0.142656  35.7800907598  -89.5191496831    95.16227
TN49 10JAN15 2010.0397 55211 1566 5  -89.5  -1731 -0.248484   3961142  0.222603    95  0.161926  0.0000 0.000738 0.000853 0.003045  0.024083  0.026482 -0.139089  35.7800907659  -89.5191496952    95.16193
TN49 10JAN16 2010.0424 55212 1566 6  -89.5  -1731 -0.246116   3961142  0.221913    95  0.168243  0.0000 0.000739 0.000818 0.003035  0.050466  0.021523 -0.139943  35.7800907597  -89.5191496695    95.16824
TN49 10JAN17 2010.0452 55213 1567 0  -89.5  -1731 -0.246221   3961142  0.221787    95  0.169003  0.0000 0.000725 0.000824 0.002979 -0.004413  0.061154 -0.146743  35.7800907585  -89.5191496711    95.16900
TN49 10JAN18 2010.0479 55214 1567 1  -89.5  -1731 -0.245858   3961142  0.220810    95  0.168225  0.0000 0.000721 0.000817 0.002912  0.028163  0.050857 -0.146684  35.7800907497  -89.5191496675    95.16822
TN49 10JAN19 2010.0507 55215 1567 2  -89.5  -1731 -0.246644   3961142  0.222898    95  0.171020  0.0000 0.000740 0.000806 0.002945  0.040034  0.006354 -0.158524  35.7800907684  -89.5191496766    95.17102
TN49 10JAN20 2010.0534 55216 1567 3  -89.5  -1731 -0.244439   3961142  0.222029    95  0.177511  0.0000 0.000770 0.000821 0.003082  0.022769  0.014713 -0.173552  35.7800907606  -89.5191496526    95.17751
TN49 10JAN21 2010.0561 55217 1567 4  -89.5  -1731 -0.243916   3961142  0.223370    95  0.172889  0.0000 0.000769 0.000833 0.003190  0.038455  0.055386 -0.139222  35.7800907726  -89.5191496472    95.17289
TN49 10JAN22 2010.0589 55218 1567 5  -89.5  -1731 -0.246342   3961142  0.222145    95  0.170211  0.0000 0.000739 0.000807 0.003009  0.034202 -0.006095 -0.159466  35.7800907616  -89.5191496745    95.17021
TN49 10JAN23 2010.0616 55219 1567 6  -89.5  -1731 -0.245945   3961142  0.222180    95  0.168359  0.0000 0.000725 0.000809 0.002980  0.013200  0.045772 -0.151238  35.7800907618  -89.5191496705    95.16836
TN49 10JAN24 2010.0643 55220 1568 0  -89.5  -1731 -0.244508   3961142  0.220898    95  0.186386  0.0000 0.000751 0.000840 0.003094  0.008642  0.064631 -0.082002  35.7800907503  -89.5191496550    95.18639
TN49 10JAN25 2010.0671 55221 1568 1  -89.5  -1731 -0.246350   3961142  0.222373    95  0.171195  0.0000 0.000754 0.000851 0.003131  0.007765  0.033434 -0.137997  35.7800907635  -89.5191496758    95.17119
TN49 10JAN26 2010.0698 55222 1568 2  -89.5  -1731 -0.244765   3961142  0.222324    95  0.163687  0.0000 0.000747 0.000827 0.003042  0.057196  0.033016 -0.110007  35.7800907630  -89.5191496587    95.16369
TN49 10JAN27 2010.0726 55223 1568 3  -89.5  -1731 -0.245064   3961142  0.221583    95  0.160524  0.0000 0.000755 0.000858 0.003171  0.056350  0.034535 -0.073896  35.7800907563  -89.5191496625    95.16052
TN49 10JAN28 2010.0753 55224 1568 4  -89.5  -1731 -0.246732   3961142  0.223201    95  0.155229  0.0000 0.000730 0.000842 0.003005 -0.023345  0.067496 -0.057327  35.7800907709  -89.5191496813    95.15523
TN49 10JAN29 2010.0780 55225 1568 5  -89.5  -1731 -0.247291   3961142  0.223863    95  0.158137  0.0000 0.000754 0.000831 0.003091  0.005772  0.090650 -0.125776  35.7800907768  -89.5191496879    95.15814
TN49 10JAN30 2010.0808 55226 1568 6  -89.5  -1731 -0.246939   3961142  0.220738    95  0.158930  0.0000 0.000721 0.000803 0.002864  0.005876 -0.007927 -0.158791  35.7800907486  -89.5191496845    95.15893
TN49 10JAN31 2010.0835 55227 1569 0  -89.5  -1731 -0.245747   3961142  0.220243    95  0.159036  0.0000 0.000745 0.000847 0.002974 -0.017631  0.017455 -0.109871  35.7800907441  -89.5191496717    95.15904
TN49 10FEB01 2010.0862 55228 1569 1  -89.5  -1731 -0.246863   3961142  0.221676    95  0.156511  0.0000 0.000726 0.000805 0.002930  0.031829 -0.013714 -0.159514  35.7800907570  -89.5191496845    95.15651
TN49 10FEB02 2010.0890 55229 1569 2  -89.5  -1731 -0.246354   3961142  0.223070    95  0.159747  0.0000 0.000758 0.000822 0.002916  0.022195  0.003359 -0.110819  35.7800907695  -89.5191496793    95.15975
TN49 10FEB03 2010.0917 55230 1569 3  -89.5  -1731 -0.245277   3961142  0.221850    95  0.161015  0.0000 0.000735 0.000830 0.002951  0.039042  0.025212 -0.141000  35.7800907585  -89.5191496678    95.16102
TN49 10FEB04 2010.0945 55231 1569 4  -89.5  -1731 -0.246109   3961142  0.222862    95  0.161955  0.0000 0.000748 0.000852 0.003028 -0.036635  0.083955 -0.143982  35.7800907676  -89.5191496774    95.16195
TN49 10FEB05 2010.0972 55232 1569 5  -89.5  -1731 -0.245317   3961142  0.223330    95  0.163942  0.0000 0.000743 0.000848 0.003002 -0.023673  0.063450 -0.121956  35.7800907718  -89.5191496690    95.16394
TN49 10FEB06 2010.0999 55233 1569 6  -89.5  -1731 -0.246911   3961142  0.224649    95  0.155965  0.0000 0.000724 0.000833 0.002838 -0.039129  0.071128 -0.115958  35.7800907836  -89.5191496871    95.15597
TN49 10FEB07 2010.1027 55234 1570 0  -89.5  -1731 -0.244443   3961142  0.223564    95  0.159451  0.0000 0.000720 0.000816 0.002845 -0.018162  0.053965 -0.116323  35.7800907738  -89.5191496602    95.15945
TN49 10FEB08 2010.1054 55235 1570 1  -89.5  -1731 -0.246047   3961142  0.222995    95  0.157124  0.0000 0.000728 0.000832 0.002876 -0.014821  0.021402 -0.081340  35.7800907687  -89.5191496784    95.15712
TN49 10FEB09 2010.1081 55236 1570 2  -89.5  -1731 -0.250555   3961142  0.221882    95  0.157311  0.0000 0.000737 0.000829 0.002905  0.019650  0.012617 -0.165512  35.7800907586  -89.5191497287    95.15731
TN49 10FEB10 2010.1109 55237 1570 3  -89.5  -1731 -0.244911   3961142  0.221258    95  0.156777  0.0000 0.000752 0.000836 0.002988  0.010265  0.026206 -0.140839  35.7800907529  -89.5191496667    95.15678
TN49 10FEB11 2010.1136 55238 1570 4  -89.5  -1731 -0.246480   3961142  0.222771    95  0.157344  0.0000 0.000721 0.000826 0.002816 -0.028149  0.007680 -0.116673  35.7800907665  -89.5191496844    95.15734
TN49 10FEB12 2010.1164 55239 1570 5  -89.5  -1731 -0.243559   3961142  0.220485    95  0.155326  0.0000 0.000732 0.000813 0.002825 -0.030918  0.023823 -0.156403  35.7800907459  -89.5191496526    95.15533
TN49 10FEB13 2010.1191 55240 1570 6  -89.5  -1731 -0.244859   3961142  0.219978    95  0.162359  0.0000 0.000733 0.000815 0.002840 -0.036517  0.019854 -0.106288  35.7800907413  -89.5191496673    95.16236
